,0
0,1782.6683293295582
1,1772.8651461989243
2,1773.4569033734301
3,1769.8600892442787
4,1770.2085826211387
5,1776.7193211779575
6,1770.9775956187932
7,1777.2387577515674
8,1778.6014389747295
9,1770.3094328150728
