,0
0,-0.007260263509019538
1,-0.0017211754683950087
2,-0.0020555357516398587
3,-2.322952399480549e-05
4,-0.00022013857590974517
5,-0.0038988981782897003
6,-0.0006546536351137444
7,-0.004192395185782516
8,-0.00496235032849679
9,-0.0002771219144510617
