,0
0,1782.6683293295582
1,1770.0297107198112
2,1834.2142765411554
3,1797.3811603342522
4,1849.7172796120237
5,1842.1526820768183
6,1837.150009640943
7,1851.8903310236676
8,1904.5488966826736
9,1861.5325000705418
