,0
0,-0.007260263509019538
1,-0.00011907066804317523
2,-0.036385246276118055
3,-0.015573447622367897
4,-0.0451449009473921
5,-0.04087067989275761
6,-0.0380440221947973
7,-0.04637273918375895
8,-0.07612638423877893
9,-0.051820849510936684
