,0
0,122.96580975685829
1,126.09135183991536
2,134.57507723321177
3,131.80037887931277
4,135.4889940908812
5,135.05533144778713
6,134.75595793796134
7,135.60973319400955
8,138.1577308615735
9,136.1271268071256
