,0
0,36.261680401136175
1,34.825739825803545
2,31.314531427130888
3,32.35209347854404
4,30.976395868074512
5,31.13672563368723
6,31.247551192036884
7,30.931757316857052
8,29.990723250681377
9,30.740510005952235
